item_index,preference,text_a_has_context,text_b_has_context,with_context_accuracy,with_context_clarity,with_context_relevance,with_context_completeness,without_context_accuracy,without_context_clarity,without_context_relevance,without_context_completeness,preference_actual
0,A,True,False,6,6,7,6,6,7,7,5,with_context
1,B,True,False,5,6,6,6,7,7,7,7,without_context
2,Equal,True,False,6,4,5,5,5,5,7,5,equal
3,B,True,False,4,5,5,6,4,5,6,6,without_context
4,A,True,False,5,6,7,6,4,5,6,6,with_context
5,A,True,False,7,7,7,7,5,6,6,5,with_context
6,Equal,False,True,7,7,5,7,7,7,7,6,equal
7,B,False,True,6,6,7,6,5,5,7,6,with_context
8,B,False,True,7,6,7,7,5,7,6,6,with_context
9,A,True,False,6,6,6,7,4,6,3,5,with_context
10,A,True,False,7,6,7,7,5,6,5,5,with_context
11,Equal,False,True,6,7,7,7,7,7,7,7,equal
12,B,False,True,7,7,7,7,6,7,7,7,with_context
13,B,False,True,7,7,7,7,7,7,7,7,with_context
14,A,True,False,7,7,7,7,5,7,7,6,with_context
15,B,False,True,7,7,7,7,6,6,6,6,with_context
16,A,True,False,7,7,7,7,6,7,7,6,with_context
17,A,False,True,6,7,7,7,7,7,7,7,without_context
18,B,False,True,7,7,7,7,7,7,6,6,with_context
19,A,False,True,6,7,7,7,7,7,7,7,without_context
20,B,True,False,7,7,7,7,7,7,7,7,without_context
21,B,False,True,7,7,7,7,7,6,7,6,with_context
22,Equal,False,True,7,6,7,7,7,7,7,7,equal
23,B,False,True,7,7,7,7,7,7,7,6,with_context
24,B,False,True,7,7,7,7,6,6,6,6,with_context
25,B,False,True,7,7,7,7,6,7,7,7,with_context
26,B,True,False,6,7,6,6,6,7,7,7,without_context
27,A,True,False,7,5,7,7,7,6,7,6,with_context
28,B,False,True,7,6,7,7,5,6,6,4,with_context
29,B,False,True,7,6,7,7,6,6,6,7,with_context
30,B,False,True,7,6,7,7,7,7,7,6,with_context
31,A,True,False,7,7,7,6,7,7,7,5,with_context
32,Equal,True,False,7,7,7,7,7,7,7,7,equal
33,A,True,False,7,7,7,7,7,5,7,6,with_context
34,B,False,True,6,6,7,7,5,6,6,5,with_context
35,A,True,False,6,6,7,6,5,6,6,6,with_context
36,B,False,True,7,7,7,7,6,7,7,6,with_context
37,B,False,True,7,7,7,7,6,7,7,7,with_context
38,B,False,True,7,7,7,7,7,6,7,7,with_context
39,Equal,False,True,7,7,7,7,7,7,7,7,equal
40,B,True,False,7,7,7,7,7,7,7,7,without_context
41,A,True,False,7,7,7,7,7,7,6,6,with_context
42,A,True,False,7,7,7,7,6,7,7,6,with_context
43,B,False,True,7,7,5,7,6,7,6,6,with_context
44,A,True,False,7,7,7,7,7,7,7,7,with_context
45,A,True,False,6,7,7,6,6,7,7,5,with_context
46,B,False,True,7,7,7,7,7,7,7,7,with_context
47,A,False,True,5,6,7,7,6,7,7,7,without_context
48,A,True,False,7,7,7,7,6,6,7,6,with_context
49,B,False,True,6,7,7,7,5,7,7,6,with_context
50,A,True,False,7,7,7,7,6,6,6,6,with_context
51,A,True,False,7,7,7,7,5,5,5,4,with_context
52,Equal,False,True,7,7,7,7,7,7,7,7,equal
53,A,True,False,7,6,7,7,6,6,7,5,with_context
54,A,True,False,7,7,7,7,7,6,7,6,with_context
55,B,False,True,7,7,7,7,5,6,5,6,with_context
56,B,False,True,6,7,7,7,5,6,6,7,with_context
57,Equal,False,True,6,6,7,7,6,7,7,6,equal
58,A,True,False,5,7,7,7,4,6,5,5,with_context
59,B,False,True,7,7,7,6,6,6,7,7,with_context
60,B,False,True,7,7,7,7,6,7,7,7,with_context
